"idx"	"label"	"R"	"G"	"B"	"A"	"roi"	"color"
0	"Unknown"	0	0	0	0	"0000"	"#000000"
2	"Left-Cerebral-White-Matter"	245	245	245	0	"0002"	"#F5F5F5"
3	"Left-Cerebral-Cortex"	205	62	78	0	"0003"	"#CD3E4E"
4	"Left-Lateral-Ventricle"	120	18	134	0	"0004"	"#781286"
5	"Left-Inf-Lat-Vent"	196	58	250	0	"0005"	"#C43AFA"
7	"Left-Cerebellum-White-Matter"	220	248	164	0	"0007"	"#DCF8A4"
8	"Left-Cerebellum-Cortex"	230	148	34	0	"0008"	"#E69422"
10	"Left-Thalamus"	0	118	14	0	"0010"	"#00760E"
11	"Left-Caudate"	122	186	220	0	"0011"	"#7ABADC"
12	"Left-Putamen"	236	13	176	0	"0012"	"#EC0DB0"
13	"Left-Pallidum"	12	48	255	0	"0013"	"#0C30FF"
14	"3rd-Ventricle"	204	182	142	0	"0014"	"#CCB68E"
15	"4th-Ventricle"	42	204	164	0	"0015"	"#2ACCA4"
16	"Brain-Stem"	119	159	176	0	"0016"	"#779FB0"
17	"Left-Hippocampus"	220	216	20	0	"0017"	"#DCD814"
18	"Left-Amygdala"	103	255	255	0	"0018"	"#67FFFF"
24	"CSF"	60	60	60	0	"0024"	"#3C3C3C"
26	"Left-Accumbens-area"	255	165	0	0	"0026"	"#FFA500"
28	"Left-VentralDC"	165	42	42	0	"0028"	"#A52A2A"
30	"Left-vessel"	160	32	240	0	"0030"	"#A020F0"
31	"Left-choroid-plexus"	0	200	200	0	"0031"	"#00C8C8"
41	"Right-Cerebral-White-Matter"	245	245	245	0	"0041"	"#F5F5F5"
42	"Right-Cerebral-Cortex"	205	62	78	0	"0042"	"#CD3E4E"
43	"Right-Lateral-Ventricle"	120	18	134	0	"0043"	"#781286"
44	"Right-Inf-Lat-Vent"	196	58	250	0	"0044"	"#C43AFA"
46	"Right-Cerebellum-White-Matter"	220	248	164	0	"0046"	"#DCF8A4"
47	"Right-Cerebellum-Cortex"	230	148	34	0	"0047"	"#E69422"
49	"Right-Thalamus"	0	118	14	0	"0049"	"#00760E"
50	"Right-Caudate"	122	186	220	0	"0050"	"#7ABADC"
51	"Right-Putamen"	236	13	176	0	"0051"	"#EC0DB0"
52	"Right-Pallidum"	13	48	255	0	"0052"	"#0D30FF"
53	"Right-Hippocampus"	220	216	20	0	"0053"	"#DCD814"
54	"Right-Amygdala"	103	255	255	0	"0054"	"#67FFFF"
58	"Right-Accumbens-area"	255	165	0	0	"0058"	"#FFA500"
60	"Right-VentralDC"	165	42	42	0	"0060"	"#A52A2A"
62	"Right-vessel"	160	32	240	0	"0062"	"#A020F0"
63	"Right-choroid-plexus"	0	200	221	0	"0063"	"#00C8DD"
77	"WM-hypointensities"	200	70	255	0	"0077"	"#C846FF"
85	"Optic-Chiasm"	234	169	30	0	"0085"	"#EAA91E"
251	"CC_Posterior"	0	0	64	0	"0251"	"#000040"
252	"CC_Mid_Posterior"	0	0	112	0	"0252"	"#000070"
253	"CC_Central"	0	0	160	0	"0253"	"#0000A0"
254	"CC_Mid_Anterior"	0	0	208	0	"0254"	"#0000D0"
255	"CC_Anterior"	0	0	255	0	"0255"	"#0000FF"
